id,callingPartyNumber,originalCalledPartyNumber,duration
1,1022,1950,74
2,b001179514611001,7777,73
3,b001179514611001,7777,73
4,b001179517611001,7777,73
5,b001179517611001,7777,73
6,1008,566070200,100
7,b001179533911001,7777,99
8,b001179533911001,7777,99
9,1006,1036,12
10,b001179516011001,7777,11
11,b001179516011001,7777,11
12,b001179534011001,7777,11
13,b001179534011001,7777,11
14,61740162089,99,42
15,1618,1614,177
16,b002179182111001,7777,177
17,b002179182111001,7777,177
18,b002179164511001,7777,177
19,b002179164511001,7777,177
20,61740162089,99,81
21,1711,1919,227
22,b001179462911001,7777,227
23,b001179462911001,7777,227
24,b001179474711001,7777,227
25,b001179474711001,7777,227
26,1618,1614,158
27,b002179164511001,7777,158
28,b002179164511001,7777,158
29,b002179182111001,7777,158
30,b002179182111001,7777,158
31,1618,1017,151
32,b002179182111001,7777,150
33,b002179182111001,7777,150
34,b001179514911001,7777,150
35,b001179514911001,7777,150
36,564221037,99,21
37,1030,554941126,102
38,b001179541111001,7777,102
39,b001179541111001,7777,102
40,1902,1612,135
41,b002179163811001,7777,134
42,b002179163811001,7777,134
43,b001179476811001,7777,134
44,b001179476811001,7777,134
45,1421,1009,4
46,b001179484011001,7777,4
47,b001179484011001,7777,4
48,1806,1017,39
49,b001179476211001,7777,38
50,b001179476211001,7777,38
51,b001179514911001,7777,38
52,b001179514911001,7777,38
53,1017,1920,37
54,b001179514911001,7777,36
55,b001179514911001,7777,36
56,b001179464211001,7777,36
57,b001179464211001,7777,36
58,1031,548926146,28
59,b001179530111001,7777,27
60,b001179530111001,7777,27
61,1407,1030,2
62,b001179470911001,7777,2
63,b001179470911001,7777,1
64,1407,1031,10
65,b001179530111001,7777,10
66,b001179530111001,7777,9
67,b001179470911001,7777,9
68,b001179470911001,7777,9
69,1207,1426,27
70,b001179472111001,7777,27
71,b001179472111001,7777,26
72,b001179479211001,7777,26
73,b001179479211001,7777,26
74,1005,1046,2
75,b001179538211001,7777,2
76,b001179538211001,7777,2
77,1906,1920,13
78,b001179464211001,7777,13
79,b001179464211001,7777,12
80,b001179461911001,7777,13
81,b001179461911001,7777,12
82,1905,1910,13
83,b001179469011001,7777,13
84,b001179469011001,7777,12
85,1017,553300843,54
86,b001179514911001,7777,54
87,b001179514911001,7777,54
88,1046,1005,29
89,b001179538211001,7777,29
90,b001179538211001,7777,28
91,b001179514211001,7777,29
92,b001179514211001,7777,28
93,1617,1412,3
94,b002179164211001,7777,3
95,b002179164211001,7777,2
96,1617,1421,2
97,b002179164211001,7777,2
98,b002179164211001,7777,2
99,1009,1021,209
100,b001179513611001,7777,209
101,b001179513611001,7777,209
102,b001179534711001,7777,209
103,b001179534711001,7777,209
104,1806,1804,15
105,b001179476211001,7777,14
106,b001179476211001,7777,14
107,b001179526211001,7777,14
108,b001179526211001,7777,14
109,1910,1808,63
110,b001179526211001,7777,62
111,b001179526211001,7777,62
112,1412,1617,53
113,b001179467711001,7777,53
114,b001179467711001,7777,53
115,b002179164211001,7777,53
116,b002179164211001,7777,53
117,1021,1007,79
118,b001179513611001,7777,78
119,b001179513611001,7777,78
120,b001179513711001,7777,79
121,b001179513711001,7777,79
122,1617,530877337,13
123,b002179164211001,7777,13
124,b002179164211001,7777,13
125,1001,1421,2
126,b001179533011001,7777,2
127,b001179533011001,7777,2
128,1036,2802,16
129,b001179516011001,7777,15
130,b001179516011001,7777,15
131,1617,1412,3
132,b002179164211001,7777,3
133,b002179164211001,7777,3
134,1617,1412,2
135,b002179164211001,7777,2
136,b002179164211001,7777,2
137,1617,1412,5
138,b002179164211001,7777,5
139,b002179164211001,7777,5
140,1036,2701,94
141,b001179516011001,7777,94
142,b001179516011001,7777,94
143,1001,1407,189
144,b001179533011001,7777,188
145,b001179533011001,7777,188
146,b001179470911001,7777,188
147,b001179470911001,7777,188
148,1421,1804,132
149,b001179526211001,7777,131
150,b001179526211001,7777,131
151,b001179484011001,7777,132
152,b001179484011001,7777,132
153,1950,507031954,65
154,b001179517611001,7777,65
155,b001179517611001,7777,65
156,1001,581567959,84
157,b001179533011001,7777,83
158,b001179533011001,7777,83
159,1703,1920,35
160,b001179471411001,7777,34
161,b001179471411001,7777,34
162,b001179464211001,7777,35
163,b001179464211001,7777,34
164,1421,1804,131
165,b001179526211001,7777,130
166,b001179526211001,7777,130
167,b001179484011001,7777,130
168,b001179484011001,7777,130
169,1950,552908659,9
170,b001179517611001,7777,8
171,b001179517611001,7777,8
172,558986961,99,22
173,2925,1009,4
174,558986961,99,20
175,1009,2925,77
176,b001179534711001,7777,76
177,b001179534711001,7777,76
178,2001,1810,2
179,9.72E+11,99,24
180,2001,1409,4
181,61740162089,99,21
182,1421,1001,14
183,b001179484011001,7777,14
184,b001179484011001,7777,13
185,b001179533011001,7777,14
186,b001179533011001,7777,14
187,9.72E+11,99,37
188,b001179533011001,7777,40
189,b001179533011001,7777,40
190,1803,1954,43
191,b001179477111001,7777,39
192,b001179477111001,7777,39
193,b002179181011001,7777,42
194,b002179181011001,7777,42
195,b001179533011001,7777,2
196,b001179533011001,7777,1
197,b001179533011001,7777,1
198,b001179533011001,7777,1
199,9.72E+11,1412,6
200,9.72E+11,99,16
201,61740162089,90,124
202,61740162089,99,7
203,1001,1409,54
204,b001179468211001,7777,54
205,b001179468211001,7777,53
206,b001179533011001,7777,53
207,b001179533011001,7777,53
208,b001179535811001,7777,81
209,b001179535811001,7777,81
210,1009,2925,116
211,b001179534711001,7777,116
212,b001179534711001,7777,116
213,b001179535811001,7777,6
214,b001179535811001,7777,6
215,9.72E+11,93,122
216,61740162089,90,57
217,b001179533011001,7777,56
218,b001179533011001,7777,56
219,9.72E+11,1009,37
220,b001179534711001,7777,37
221,b001179534711001,7777,36
222,1009,1808,4
223,b001179534711001,7777,3
224,b001179534711001,7777,3
225,2703,1036,508
226,b001179516011001,7777,507
227,b001179516011001,7777,507
228,1703,1950,39
229,b001179517611001,7777,38
230,b001179517611001,7777,38
231,b001179471411001,7777,39
232,b001179471411001,7777,39
233,1009,1021,52
234,b001179534711001,7777,52
235,b001179534711001,7777,52
236,b001179513611001,7777,52
237,b001179513611001,7777,52
238,1000,1030,3
239,b001179535811001,7777,2
240,b001179535811001,7777,2
241,b001179535811001,7777,1
242,b001179535811001,7777,1
243,1000,1031,6
244,1426,1207,36
245,b001179472111001,7777,35
246,b001179472111001,7777,35
247,b001179479211001,7777,36
248,b001179479211001,7777,36
249,1030,1000,42
250,b001179535811001,7777,42
251,b001179535811001,7777,42
252,b001179541111001,7777,42
253,b001179541111001,7777,42
254,1426,1207,18
255,b001179479211001,7777,18
256,b001179479211001,7777,18
257,b001179472111001,7777,18
258,b001179472111001,7777,18
259,1409,1005,82
260,b001179468211001,7777,81
261,b001179468211001,7777,81
262,b001179547611001,7777,81
263,b001179547611001,7777,81
264,1910,504440264,69
265,1905,1910,22
266,b001179469011001,7777,21
267,b001179469011001,7777,21
268,2925,1009,19
269,b001179534711001,7777,19
270,b001179534711001,7777,18
271,502729765,99,41
272,550617420,99,21
273,550617420,99,7
274,1000,1031,2
275,b001179535811001,7777,2
276,b001179535811001,7777,2
277,b001179535811001,7777,58
278,b001179535811001,7777,57
279,1950,1951,122
280,b001179522111001,7777,122
281,b001179522111001,7777,122
282,b001179517611001,7777,122
283,b001179517611001,7777,122
284,b001179535811001,7777,1
285,b001179535811001,7777,1
286,1049,1008,3
287,b001179537211001,7777,2
288,b001179537211001,7777,2
289,1001,1618,51
290,b002179164211001,7777,50
291,b002179164211001,7777,50
292,b001179533011001,7777,51
293,b001179533011001,7777,51
294,1000,1030,27
295,b001179541111001,7777,26
296,b001179541111001,7777,26
297,b001179535811001,7777,26
298,b001179535811001,7777,26
299,502729765,90,117
300,550617420,99,24
301,b001179541111001,7777,5
302,b001179541111001,7777,5
303,502729765,1030,12
304,1808,1421,3
305,b001179526211001,7777,2
306,b001179526211001,7777,2
307,1912,1017,38
308,b001179466811001,7777,38
309,b001179466811001,7777,38
310,b001179514911001,7777,38
311,b001179514911001,7777,38
312,1000,1030,17
313,b001179535811001,7777,17
314,b001179535811001,7777,17
315,b001179541111001,7777,17
316,b001179541111001,7777,17
317,1806,1804,15
318,b001179476211001,7777,15
319,b001179476211001,7777,15
320,b001179526211001,7777,15
321,b001179526211001,7777,15
322,1617,1617,5
323,b002179164211001,7777,6
324,b002179164211001,7777,6
325,1806,1803,19
326,b001179476211001,7777,19
327,b001179476211001,7777,19
328,b001179526211001,7777,19
329,b001179526211001,7777,19
330,502729765,1031,291
331,b001179530111001,7777,290
332,b001179530111001,7777,290
333,b001179534011001,7777,287
334,b001179534011001,7777,287
335,1806,569495416,7
336,b001179476211001,7777,7
337,b001179476211001,7777,7
338,1009,2925,85
339,b001179534711001,7777,84
340,b001179534711001,7777,84
341,550617420,91,324
342,1954,1950,17
343,b001179517611001,7777,17
344,b001179517611001,7777,17
345,b002179181011001,7777,17
346,b002179181011001,7777,17
347,1006,1001,3
348,b001179534011001,7777,3
349,b001179534011001,7777,3
350,550617420,1000,6
351,1950,1954,10
352,b002179181011001,7777,9
353,b002179181011001,7777,9
354,b001179517611001,7777,9
355,b001179517611001,7777,9
356,1030,548446540,228
357,b001179541111001,7777,227
358,b001179541111001,7777,227
359,1000,1804,24
360,b001179535811001,7777,24
361,b001179535811001,7777,23
362,b001179526211001,7777,24
363,b001179526211001,7777,23
364,1617,1000,26
365,b001179535811001,7777,26
